Area,AreaId,VariableName,VariableId,Year,Value,Symbol,Md1,Md2,Units,Period,ISOCode
Afghanistan,4.0,Surface water: outflow to other countries secured through treaties,4174.0,1962.0,0.82,E," [P-Observations-N] | TO:  Iran: 0.82 (Helmand (26 m3/s))""",6043.0,· 10⁹ m³/year,"(1958, 1962)",AFG
Afghanistan,4.0,Surface water: outflow to other countries secured through treaties,4174.0,1967.0,0.82,E," [P-Observations-N] | According to an agreement between the Islamic Republic of Iran and Afghanistan in 1972, the Islamic Republic of Iran can use 26 m3/s of the Helmand river all year round, which is equal to 0.82 km3/year.""",6043.0,· 10⁹ m³/year,"(1963, 1967)",AFG
Afghanistan,4.0,Surface water: outflow to other countries secured through treaties,4174.0,1972.0,0.82,E," [P-Observations-N] | According to an agreement between the Islamic Republic of Iran and Afghanistan in 1972, the Islamic Republic of Iran can use 26 m3/s of the Helmand river all year round, which is equal to 0.82 km3/year.""",6043.0,· 10⁹ m³/year,"(1968, 1972)",AFG
Afghanistan,4.0,Surface water: outflow to other countries secured through treaties,4174.0,1977.0,0.82,E," [P-Observations-N] | According to an agreement between the Islamic Republic of Iran and Afghanistan in 1972, the Islamic Republic of Iran can use 26 m3/s of the Helmand river all year round, which is equal to 0.82 km3/year.""",6043.0,· 10⁹ m³/year,"(1973, 1977)",AFG
Afghanistan,4.0,Surface water: outflow to other countries secured through treaties,4174.0,1982.0,0.82,E," [P-Observations-N] | According to an agreement between the Islamic Republic of Iran and Afghanistan in 1972, the Islamic Republic of Iran can use 26 m3/s of the Helmand river all year round, which is equal to 0.82 km3/year.""",6043.0,· 10⁹ m³/year,"(1978, 1982)",AFG
Afghanistan,4.0,Surface water: outflow to other countries secured through treaties,4174.0,1987.0,0.82,E," [P-Observations-N] | According to an agreement between the Islamic Republic of Iran and Afghanistan in 1972, the Islamic Republic of Iran can use 26 m3/s of the Helmand river all year round, which is equal to 0.82 km3/year.""",6043.0,· 10⁹ m³/year,"(1983, 1987)",AFG
Afghanistan,4.0,Surface water: outflow to other countries secured through treaties,4174.0,1992.0,0.82,E," [P-Observations-N] | According to an agreement between the Islamic Republic of Iran and Afghanistan in 1972, the Islamic Republic of Iran can use 26 m3/s of the Helmand river all year round, which is equal to 0.82 km3/year.""",6043.0,· 10⁹ m³/year,"(1988, 1992)",AFG
Afghanistan,4.0,Surface water: outflow to other countries secured through treaties,4174.0,1997.0,0.82,E," [P-Observations-N] | According to an agreement between the Islamic Republic of Iran and Afghanistan in 1972, the Islamic Republic of Iran can use 26 m3/s of the Helmand river all year round, which is equal to 0.82 km3/year.""",6043.0,· 10⁹ m³/year,"(1993, 1997)",AFG
Afghanistan,4.0,Surface water: outflow to other countries secured through treaties,4174.0,2002.0,0.82,E," [P-Observations-N] | According to an agreement between the Islamic Republic of Iran and Afghanistan in 1972, the Islamic Republic of Iran can use 26 m3/s of the Helmand river all year round, which is equal to 0.82 km3/year.""",6043.0,· 10⁹ m³/year,"(1998, 2002)",AFG
Afghanistan,4.0,Surface water: outflow to other countries secured through treaties,4174.0,2007.0,0.82,E," [P-Observations-N] | According to an agreement between the Islamic Republic of Iran and Afghanistan in 1972, the Islamic Republic of Iran can use 26 m3/s of the Helmand river all year round, which is equal to 0.82 km3/year.""",6043.0,· 10⁹ m³/year,"(2003, 2007)",AFG
Afghanistan,4.0,Surface water: outflow to other countries secured through treaties,4174.0,2012.0,0.82,E," [P-Observations-N] | According to an agreement between the Islamic Republic of Iran and Afghanistan in 1972, the Islamic Republic of Iran can use 26 m3/s of the Helmand river all year round, which is equal to 0.82 km3/year.""",6043.0,· 10⁹ m³/year,"(2008, 2012)",AFG
Afghanistan,4.0,Surface water: outflow to other countries secured through treaties,4174.0,2017.0,0.82,E,-,6433.0,· 10⁹ m³/year,"(2013, 2017)",AFG
Afghanistan,4.0,Surface water: outflow to other countries secured through treaties,4174.0,2018.0,0.82,E,-,0.0,· 10⁹ m³/year,"(2018, 2022)",AFG
Afghanistan,4.0,Surface water: total external renewable,4176.0,1962.0,18.18,E,-,0.0,· 10⁹ m³/yr,"(1958, 1962)",AFG
Afghanistan,4.0,Surface water: total external renewable,4176.0,1967.0,18.18,E,-,0.0,· 10⁹ m³/yr,"(1963, 1967)",AFG
Afghanistan,4.0,Surface water: total external renewable,4176.0,1972.0,18.18,E,-,0.0,· 10⁹ m³/yr,"(1968, 1972)",AFG
Afghanistan,4.0,Surface water: total external renewable,4176.0,1977.0,18.18,E,-,0.0,· 10⁹ m³/yr,"(1973, 1977)",AFG
Afghanistan,4.0,Surface water: total external renewable,4176.0,1982.0,18.18,E,-,0.0,· 10⁹ m³/yr,"(1978, 1982)",AFG
Afghanistan,4.0,Surface water: total external renewable,4176.0,1987.0,18.18,E,-,0.0,· 10⁹ m³/yr,"(1983, 1987)",AFG
Afghanistan,4.0,Surface water: total external renewable,4176.0,1992.0,18.18,E,-,0.0,· 10⁹ m³/yr,"(1988, 1992)",AFG
Afghanistan,4.0,Surface water: total external renewable,4176.0,1997.0,18.18,E,-,0.0,· 10⁹ m³/yr,"(1993, 1997)",AFG
Afghanistan,4.0,Surface water: total external renewable,4176.0,2002.0,18.18,E,-,0.0,· 10⁹ m³/yr,"(1998, 2002)",AFG
Afghanistan,4.0,Surface water: total external renewable,4176.0,2007.0,18.18,E,-,0.0,· 10⁹ m³/yr,"(2003, 2007)",AFG
Afghanistan,4.0,Surface water: total external renewable,4176.0,2012.0,18.18,E,-,0.0,· 10⁹ m³/yr,"(2008, 2012)",AFG
Afghanistan,4.0,Surface water: total external renewable,4176.0,2017.0,18.18,E,-,0.0,· 10⁹ m³/yr,"(2013, 2017)",AFG
Afghanistan,4.0,Surface water: total external renewable,4176.0,2018.0,18.18,E,-,0.0,· 10⁹ m³/yr,"(2018, 2022)",AFG
