Area,AreaId,VariableName,VariableId,Year,Value,Symbol,Md1,Md2,Units,Period,ISOCode
Afghanistan,4.0,Total harvested irrigated crop area (full control irrigation),4379.0,2012.0,2176.0,I,-,0.0,· 1000 ha,"(2008, 2012)",AFG
Afghanistan,4.0,Total harvested irrigated crop area (full control irrigation),4379.0,2017.0,2176.0,I,-,0.0,· 1000 ha,"(2013, 2017)",AFG
Afghanistan,4.0,Total harvested irrigated crop area (full control irrigation),4379.0,2018.0,2176.0,I,-,0.0,· 1000 ha,"(2018, 2022)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Total,4520.0,2012.0,1978.0,I,-,0.0,· 1000 ha,"(2008, 2012)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Total,4520.0,2017.0,1978.0,I,-,0.0,· 1000 ha,"(2013, 2017)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Total,4520.0,2018.0,1978.0,I,-,0.0,· 1000 ha,"(2018, 2022)",AFG
Afghanistan,4.0,Harvested irrigated permanent crop area: Total,4521.0,2012.0,198.0,I,-,0.0,· 1000 ha,"(2008, 2012)",AFG
Afghanistan,4.0,Harvested irrigated permanent crop area: Total,4521.0,2017.0,198.0,I,-,0.0,· 1000 ha,"(2013, 2017)",AFG
Afghanistan,4.0,Harvested irrigated permanent crop area: Total,4521.0,2018.0,198.0,I,-,0.0,· 1000 ha,"(2018, 2022)",AFG
Afghanistan,4.0,Irrigated cropping intensity,4464.0,2012.0,106.457925636,E,-,0.0,%,"(2008, 2012)",AFG
Afghanistan,4.0,Irrigated cropping intensity,4464.0,2017.0,100.5080831409,E,-,0.0,%,"(2013, 2017)",AFG
Afghanistan,4.0,Irrigated cropping intensity,4464.0,2018.0,100.5080831409,E,-,0.0,%,"(2018, 2022)",AFG
Albania,8.0,Total harvested irrigated crop area (full control irrigation),4379.0,2007.0,102.7,I,-,0.0,· 1000 ha,"(2003, 2007)",ALB
Albania,8.0,Total harvested irrigated crop area (full control irrigation),4379.0,2012.0,102.7,I,-,0.0,· 1000 ha,"(2008, 2012)",ALB
Albania,8.0,Total harvested irrigated crop area (full control irrigation),4379.0,2017.0,102.7,I,-,0.0,· 1000 ha,"(2013, 2017)",ALB
Albania,8.0,Total harvested irrigated crop area (full control irrigation),4379.0,2018.0,102.7,I,-,0.0,· 1000 ha,"(2018, 2022)",ALB
Albania,8.0,Harvested irrigated temporary crop area: Total,4520.0,2007.0,94.4,I,-,0.0,· 1000 ha,"(2003, 2007)",ALB
Albania,8.0,Harvested irrigated temporary crop area: Total,4520.0,2012.0,94.4,I,-,0.0,· 1000 ha,"(2008, 2012)",ALB
Albania,8.0,Harvested irrigated temporary crop area: Total,4520.0,2017.0,94.4,I,-,0.0,· 1000 ha,"(2013, 2017)",ALB
Albania,8.0,Harvested irrigated temporary crop area: Total,4520.0,2018.0,94.4,I,-,0.0,· 1000 ha,"(2018, 2022)",ALB
Albania,8.0,Harvested irrigated permanent crop area: Total,4521.0,2007.0,8.3,I,-,0.0,· 1000 ha,"(2003, 2007)",ALB
Albania,8.0,Harvested irrigated permanent crop area: Total,4521.0,2012.0,8.3,I,-,0.0,· 1000 ha,"(2008, 2012)",ALB
Albania,8.0,Harvested irrigated permanent crop area: Total,4521.0,2017.0,8.3,I,-,0.0,· 1000 ha,"(2013, 2017)",ALB
Albania,8.0,Harvested irrigated permanent crop area: Total,4521.0,2018.0,8.3,I,-,0.0,· 1000 ha,"(2018, 2022)",ALB
Albania,8.0,Irrigated cropping intensity,4464.0,2007.0,96.4319248826,E,-,0.0,%,"(2003, 2007)",ALB
Albania,8.0,Irrigated cropping intensity,4464.0,2012.0,50.1709819248,E,-,0.0,%,"(2008, 2012)",ALB
Albania,8.0,Irrigated cropping intensity,4464.0,2017.0,44.0017137961,E,-,0.0,%,"(2013, 2017)",ALB
Albania,8.0,Irrigated cropping intensity,4464.0,2018.0,44.1910499139,E,-,0.0,%,"(2018, 2022)",ALB
Algeria,12.0,Total harvested irrigated crop area (full control irrigation),4379.0,2002.0,511.1428571429,I,-,0.0,· 1000 ha,"(1998, 2002)",DZA
Algeria,12.0,Total harvested irrigated crop area (full control irrigation),4379.0,2007.0,800.3571428571,I,-,0.0,· 1000 ha,"(2003, 2007)",DZA
Algeria,12.0,Total harvested irrigated crop area (full control irrigation),4379.0,2012.0,858.2,I,-,0.0,· 1000 ha,"(2008, 2012)",DZA
Algeria,12.0,Total harvested irrigated crop area (full control irrigation),4379.0,2017.0,858.2,I,-,0.0,· 1000 ha,"(2013, 2017)",DZA
Algeria,12.0,Total harvested irrigated crop area (full control irrigation),4379.0,2018.0,858.2,I,-,0.0,· 1000 ha,"(2018, 2022)",DZA
Algeria,12.0,Harvested irrigated temporary crop area: Total,4520.0,2002.0,287.7571428571,I,-,0.0,· 1000 ha,"(1998, 2002)",DZA
Algeria,12.0,Harvested irrigated temporary crop area: Total,4520.0,2007.0,365.0428571429,I,-,0.0,· 1000 ha,"(2003, 2007)",DZA
Algeria,12.0,Harvested irrigated temporary crop area: Total,4520.0,2012.0,380.5,I,-,0.0,· 1000 ha,"(2008, 2012)",DZA
Algeria,12.0,Harvested irrigated temporary crop area: Total,4520.0,2017.0,380.5,I,-,0.0,· 1000 ha,"(2013, 2017)",DZA
Algeria,12.0,Harvested irrigated temporary crop area: Total,4520.0,2018.0,380.5,I,-,0.0,· 1000 ha,"(2018, 2022)",DZA
Algeria,12.0,Harvested irrigated permanent crop area: Total,4521.0,2002.0,223.3857142857,I,-,0.0,· 1000 ha,"(1998, 2002)",DZA
Algeria,12.0,Harvested irrigated permanent crop area: Total,4521.0,2007.0,435.3142857143,I,-,0.0,· 1000 ha,"(2003, 2007)",DZA
Algeria,12.0,Harvested irrigated permanent crop area: Total,4521.0,2012.0,477.7,I,-,0.0,· 1000 ha,"(2008, 2012)",DZA
Algeria,12.0,Harvested irrigated permanent crop area: Total,4521.0,2017.0,477.7,I,-,0.0,· 1000 ha,"(2013, 2017)",DZA
Algeria,12.0,Harvested irrigated permanent crop area: Total,4521.0,2018.0,477.7,I,-,0.0,· 1000 ha,"(2018, 2022)",DZA
Algeria,12.0,Irrigated cropping intensity,4464.0,2002.0,101.3989437073,E,-,0.0,%,"(1998, 2002)",DZA
Algeria,12.0,Irrigated cropping intensity,4464.0,2007.0,105.5816822142,E,-,0.0,%,"(2003, 2007)",DZA
Algeria,12.0,Irrigated cropping intensity,4464.0,2012.0,84.8023715415,E,-,0.0,%,"(2008, 2012)",DZA
Algeria,12.0,Irrigated cropping intensity,4464.0,2017.0,84.8023715415,E,-,0.0,%,"(2013, 2017)",DZA
Algeria,12.0,Irrigated cropping intensity,4464.0,2018.0,84.8023715415,E,-,0.0,%,"(2018, 2022)",DZA
Angola,24.0,Total harvested irrigated crop area (full control irrigation),4379.0,2007.0,11.52,I,-,0.0,· 1000 ha,"(2003, 2007)",AGO
Angola,24.0,Total harvested irrigated crop area (full control irrigation),4379.0,2012.0,11.52,I,-,0.0,· 1000 ha,"(2008, 2012)",AGO
Angola,24.0,Total harvested irrigated crop area (full control irrigation),4379.0,2017.0,11.52,I,-,0.0,· 1000 ha,"(2013, 2017)",AGO
Angola,24.0,Total harvested irrigated crop area (full control irrigation),4379.0,2018.0,11.52,I,-,0.0,· 1000 ha,"(2018, 2022)",AGO
Angola,24.0,Harvested irrigated temporary crop area: Total,4520.0,2007.0,11.5,I,-,0.0,· 1000 ha,"(2003, 2007)",AGO
Angola,24.0,Harvested irrigated temporary crop area: Total,4520.0,2012.0,11.5,I,-,0.0,· 1000 ha,"(2008, 2012)",AGO
Angola,24.0,Harvested irrigated temporary crop area: Total,4520.0,2017.0,11.5,I,-,0.0,· 1000 ha,"(2013, 2017)",AGO
Angola,24.0,Harvested irrigated temporary crop area: Total,4520.0,2018.0,11.5,I,-,0.0,· 1000 ha,"(2018, 2022)",AGO
Angola,24.0,Irrigated cropping intensity,4464.0,2007.0,100.0,I,-,0.0,%,"(2003, 2007)",AGO
Angola,24.0,Irrigated cropping intensity,4464.0,2012.0,100.0,I,-,0.0,%,"(2008, 2012)",AGO
Angola,24.0,Irrigated cropping intensity,4464.0,2017.0,100.0,I,-,0.0,%,"(2013, 2017)",AGO
Angola,24.0,Irrigated cropping intensity,4464.0,2018.0,100.0,I,-,0.0,%,"(2018, 2022)",AGO
Antigua and Barbuda,28.0,Total harvested irrigated crop area (full control irrigation),4379.0,1997.0,0.13,-,-,4951.0,· 1000 ha,"(1993, 1997)",ATG
