"",,,"2018-2022",,
"Brazil","Desalinated water produced (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year)",2018,0.04,"I",
"Brazil","Direct use of treated municipal wastewater (10^9 m3/yr)",2018,0.05,"I",
"Brazil","Direct use of agricultural drainage water (10^9 m3/yr)",,,"",
"Brazil","Produced municipal wastewater (km<sup>3</sup>/year or 10^9m<sup>3</sup>/year)",2018,10.81,"",
"Brazil","Collected municipal wastewater (km<sup>3</sup>/year or 10^9m<sup>3</sup>/year)",2018,7.1,"",
"Brazil","Treated municipal wastewater (km<sup>3</sup>/year or 10^9m<sup>3</sup>/year)",2018,5.61,"",
"Brazil","Number of municipal wastewater treatment facilities (-)",,,"",
"Brazil","Capacity of the municipal wastewater treatment facilities (10^9 m3/yr)",,,"",
"Brazil","Not treated municipal wastewater (km<sup>3</sup>/year or 10^9m<sup>3</sup>/year)",2018,7.2,"I",
"Brazil","Treated municipal wastewater discharged (secondary water) (km<sup>3</sup>/year or 10^9m<sup>3</sup>/year)",2018,3.091,"I",
"Brazil","Not treated municipal wastewater discharged (secondary water) (km<sup>3</sup>/year or 10^9m<sup>3</sup>/year)",,,"",
"Brazil","Direct use of treated municipal wastewater (km<sup>3</sup>/year or 10^9m<sup>3</sup>/year)",2018,0.05,"I",
"Brazil","Direct use of treated municipal wastewater for irrigation purposes (km<sup>3</sup>/year or 10^9m<sup>3</sup>/year)",2018,0.008,"I",
"Brazil","Direct use of not treated municipal wastewater for irrigation purposes (km<sup>3</sup>/year or 10^9m<sup>3</sup>/year)",,,"",
"Brazil","Area equipped for irrigation by direct use of treated municipal wastewater (1000 ha)",,,"",
"Brazil","Area equipped for irrigation by direct use of not treated municipal wastewater (1000 ha)",,,"",
"Brazil","MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%)",2018,0.7471955592,"E",
"Brazil","Agricultural water withdrawal as % of total renewable water resources (%)",2018,0.4342546548,"E",
"Brazil","SDG 6.4.2. Water Stress (%)",2018,1.4225011008,"E",
"Brazil","SDG 6.4.1. Water Use Efficiency (US$/m3)",2018,22.5235594814,"E",
"Brazil","SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3)",2018,0.4518385837,"E",
"Brazil","SDG 6.4.1. Industrial Water Use Efficiency (US$/m3)",2018,28.2176314508,"E",
"Brazil","SDG 6.4.1. Services Water Use Efficiency (US$/m3)",2018,68.2428635775,"E",
"Brazil","Irrigation potential (1000 hectares)",2018,29350.0,"I",
"Brazil","Area equipped for full control irrigation: surface irrigation (1000 ha)",2018,1723.8087248322,"I",
"Brazil","Area equipped for full control irrigation: sprinkler irrigation (1000 ha)",2018,1146.6058033952,"I",
"Brazil","Area equipped for full control irrigation: localized irrigation (1000 ha)",2018,2774.5854717726,"I",
"Brazil","Area equipped for full control irrigation: total (1000 ha)",2018,5645.0,"",
"Brazil","Area equipped for full control irrigation: actually irrigated (1000 ha)",2018,5159.0,"I",
"Brazil","% of area equipped for full control irrigation actually irrigated (%)",2018,91.3906111603,"E",
"Brazil","Area equipped for irrigation: equipped lowland areas (1000 ha)",,,"",
"Brazil","Area equipped for irrigation: spate irrigation (1000 ha)",,,"",
"Brazil","Area equipped for irrigation: total (1000 ha)",2018,5645.0,"",
"Brazil","% of the area equipped for irrigation managed by women (%)",,,"",
"Brazil","% of the agricultural holdings with irrigation managed by women (%)",,,"",
"Brazil","Area equipped for irrigation: actually irrigated (1000 ha)",2018,4454.0,"I",
"Brazil","% of the area equipped for irrigation actually irrigated (%)",2018,78.9016829052,"E",
"Brazil","% of the cultivated area equipped for irrigation (%)",2018,8.8872445606,"E",
"Brazil","% of irrigation potential equipped for irrigation (%)",2018,19.2333901193,"E",
"Brazil","Flood recession cropping area non-equipped (1000 ha)",,,"",
"Brazil","Cultivated wetlands and inland valley bottoms non-equipped (1000 ha)",,,"",
"Brazil","Total agricultural water managed area (1000 ha)",2018,5645.0,"",
"Brazil","% of agricultural water managed area equipped for irrigation (%)",2018,100.0,"E",
"Brazil","Area equipped for irrigation by surface water (1000 ha)",2018,5402.0,"",
"Brazil","Area equipped for irrigation by groundwater (1000 ha)",2018,243.0,"",
"Brazil","Area equipped for irrigation by mixed surface water and groundwater (1000 ha)",,,"",
"Brazil","Area equipped for irrigation by direct use of treated municipal wastewater (1000 ha)",,,"",
"Brazil","Area equipped for irrigation by direct use of non-treated municipal wastewater (1000 ha)",,,"",
"Brazil","Area equipped for irrigation by direct use of agricultural drainage water (1000 ha)",,,"",
